Group,Count,Mean,Std,Min,Max,Median
Step 1,967,111.898,75.610,33.299,224.459,87.941
Step 2,605,9.393,4.832,2.976,33.222,11.724
Step 3,1863,5.780,0.175,4.907,6.820,5.772
Step 4,10,5.821,0.012,5.815,5.853,5.816
Remaining,200564,5.868,0.005,5.856,5.877,5.868
