Group,Count,Mean,Std,Min,Max,Median
Step 1,1066,140.781,78.102,40.256,880.898,93.069
Step 2,1519,21.471,9.548,10.932,37.255,18.578
Step 3,16218,5.759,0.004,5.749,5.766,5.759
Step 4,4032,6.188,0.004,6.164,6.212,6.187
Remaining,228022,6.204,0.001,6.197,6.211,6.204
