Group,Count,Mean,Std,Min,Max,Median
Step 1,1187,98.336,67.783,31.945,290.765,84.998
Step 2,2621,12.482,3.929,8.501,31.894,11.605
Step 3,501,7.836,0.457,5.570,8.493,7.886
Step 4,12,6.011,0.262,5.576,6.163,6.153
Remaining,213158,5.865,0.004,5.855,5.874,5.865
